Edad,Ingreso_Anual,Deudas_Activas,Puntaje_Credito,Aprobado
45,38706,4,545,1
45,63516,2,439,1
67,54629,2,557,0
40,66910,4,680,0
58,40431,0,777,1
55,76733,1,484,1
52,60088,0,602,0
49,64135,3,793,0
56,58015,2,463,1
42,51385,3,502,0
29,90199,2,707,0
24,58677,3,509,0
55,32818,4,400,1
53,83001,2,745,0
50,43977,2,667,1
29,69832,3,538,1
38,60931,1,590,1
51,98894,3,671,0
20,92204,2,730,0
24,65784,2,579,1
64,29921,1,766,1
23,54959,0,615,0
35,52328,1,376,0
43,28859,0,450,1
35,94408,2,695,1
21,46708,4,795,0
68,38847,4,596,0
47,75989,3,706,0
51,24922,1,586,0
46,89928,1,792,0
39,72335,4,835,0
43,33541,0,755,1
31,39551,1,791,0
69,39381,0,308,1
54,75673,0,431,1
52,42948,0,376,1
52,79072,0,430,1
62,87560,3,711,1
56,22486,3,389,1
31,86691,4,797,0
22,30082,3,653,0
20,27086,1,570,1
52,87853,3,691,1
59,90027,1,731,0
29,35916,1,771,1
62,35248,0,607,0
63,88047,4,807,1
48,44226,0,354,0
32,45025,0,336,1
31,68380,3,354,0
50,27848,3,823,1
65,34274,1,762,0
21,74545,3,777,1
69,55233,3,510,0
54,36304,2,525,1
42,31294,1,306,0
36,46425,1,839,1
45,88711,2,511,1
27,29425,1,488,1
48,64990,4,374,0
45,93746,4,413,1
29,88295,2,450,0
45,36091,3,735,0
53,20002,4,383,0
60,70411,2,511,0
26,60958,4,760,1
23,40707,0,476,0
69,35248,2,611,0
64,91309,1,458,1
30,98322,4,485,1
48,71720,1,770,1
55,35037,2,608,1
44,87421,4,545,1
40,60612,1,683,1
55,33450,3,341,1
29,29491,3,584,1
56,94804,0,599,0
28,26791,2,735,1
43,48314,1,668,1
54,71883,0,785,0
68,85629,2,735,1
54,29967,3,727,1
67,63220,1,480,1
55,94163,4,639,0
37,24947,3,790,1
68,59419,4,794,0
58,76131,4,462,0
51,48876,1,755,1
43,39971,1,391,1
42,82539,4,404,1
51,69228,0,738,1
56,94495,4,797,1
31,48261,4,627,1
68,81260,1,840,0
32,23346,2,808,1
42,76176,3,550,1
44,72300,1,490,1
54,31340,0,346,0
60,53012,3,550,0
49,55393,1,363,0
36,95133,1,619,1
68,45557,2,823,1
39,84204,0,591,1
67,93273,0,328,0
44,37276,1,736,0
41,74639,2,346,0
32,27310,1,716,0
38,55167,4,750,1
68,30391,4,373,1
55,70621,2,352,0
31,30892,1,532,0
60,96733,2,499,0
38,98586,1,848,0
31,56142,1,396,1
28,65679,4,348,1
26,61615,3,821,1
47,67553,0,339,1
33,99071,0,452,0
50,61002,2,405,0
38,90658,0,510,0
66,29852,4,501,1
35,25387,3,732,1
24,59994,1,446,1
54,53725,1,798,0
31,92682,4,581,1
44,20560,0,609,0
40,76565,1,350,0
55,21312,0,794,0
42,38205,4,708,0
35,31595,1,572,1
58,41329,2,757,1
64,88187,3,419,0
61,95542,0,345,0
58,55645,0,542,0
33,89619,0,610,0
50,53513,0,630,0
24,28749,4,310,1
54,50783,4,723,0
42,80645,4,347,1
48,73175,4,676,0
62,82709,1,307,0
30,37323,4,825,0
37,70762,1,669,1
66,84222,2,739,1
31,54493,4,783,0
28,78328,2,572,1
29,32213,4,430,0
63,66930,2,820,1
36,47713,3,413,0
57,92723,2,831,1
26,52583,1,798,1
65,99944,0,638,1
32,42369,2,320,0
59,67928,0,332,0
61,88950,3,432,1
28,39510,3,325,1
69,32120,1,663,1
46,25295,1,391,0
21,40460,2,844,0
24,34963,4,537,1
48,97116,3,317,0
56,47328,0,573,0
57,41605,4,588,1
38,64813,3,326,0
27,66371,2,733,0
67,67598,3,407,0
64,80776,1,623,1
20,92258,0,830,0
41,60969,0,403,1
36,56912,1,631,0
26,58374,4,661,0
44,92302,1,588,1
64,82784,0,743,1
23,69882,2,336,0
55,35928,4,647,0
25,41274,3,342,0
50,54416,2,425,1
38,80998,4,308,0
63,49047,0,825,1
58,63356,0,430,1
46,57134,2,624,1
29,87042,4,483,1
45,71310,3,581,1
38,32363,3,352,0
58,64563,1,832,0
22,50628,2,676,0
64,89672,4,594,1
32,66246,2,507,1
69,31161,3,776,0
47,22810,4,368,1
39,79860,0,736,1
47,97199,0,600,0
27,91688,4,326,0
60,85548,2,405,0
58,82363,2,310,1
20,31162,0,515,0
22,93535,0,620,0
32,27219,3,759,1
47,90864,4,825,1
68,23621,2,459,1
44,64433,3,763,1
52,96850,2,821,0
57,86188,0,572,1
25,74951,4,540,1
63,56558,1,466,1
64,35659,4,626,0
51,54413,1,828,0
64,30435,3,572,0
66,73911,1,675,1
40,48067,1,674,0
35,89224,3,633,1
40,93225,4,302,1
30,21379,3,542,0
56,47624,0,350,1
55,77745,0,649,0
54,71805,1,473,1
38,32516,3,415,0
39,99422,3,660,0
37,44843,3,654,0
66,25912,4,375,1
60,41514,2,380,1
68,77032,2,528,0
33,48797,2,371,0
34,26449,4,702,1
50,21725,3,517,0
20,29304,2,751,1
22,93058,3,666,1
35,33663,1,611,1
42,90320,2,597,1
30,95008,1,323,0
31,95591,4,409,0
29,32676,0,351,0
51,45192,4,589,0
35,44722,4,743,1
27,27446,4,766,0
57,24725,2,558,1
31,77632,1,623,1
43,86945,2,637,0
47,93741,0,721,0
27,36365,4,558,0
47,85792,3,364,0
55,84857,0,462,0
45,35704,1,463,0
27,70575,0,338,1
69,49902,2,619,1
47,21195,3,659,0
47,73517,2,568,0
56,54012,4,623,1
60,31415,4,625,0
55,59534,0,556,0
46,41686,4,499,1
36,97198,4,737,1
28,48743,1,403,1
52,52161,1,671,0
39,81313,2,463,1
32,22402,2,412,0
47,83190,1,848,1
67,72551,0,405,0
48,33275,1,663,0
32,48182,2,320,1
65,34915,3,428,1
54,20909,4,782,1
25,85908,3,498,0
37,42620,3,820,0
24,54112,4,719,1
66,94051,1,525,1
44,22431,0,508,0
21,82175,3,544,0
29,52624,0,587,1
49,96121,2,365,1
69,81264,3,452,1
64,51958,2,790,0
24,21695,1,734,1
52,69932,3,517,1
20,64225,2,728,0
37,21403,2,801,1
51,94391,1,520,0
66,58636,0,734,0
68,30839,0,579,1
30,85546,3,391,1
40,67829,1,823,1
45,29230,3,438,0
44,71977,0,322,0
41,60232,1,716,1
46,45651,4,647,0
68,59963,1,536,1
32,75872,1,482,0
52,99198,4,807,1
53,33739,2,497,1
60,83294,2,422,0
54,68356,2,845,1
20,21789,0,680,0
40,39420,1,814,0
67,57606,4,305,0
25,58640,0,603,1
47,64135,4,491,0
36,57067,0,675,1
24,78420,0,824,0
50,37357,0,335,0
24,59851,4,369,1
57,58262,3,588,1
22,96853,0,404,1
42,78643,2,612,1
56,41534,1,354,1
56,52872,3,406,0
29,27689,3,606,0
29,89103,4,335,1
38,57412,3,432,1
36,67734,4,324,1
40,89930,4,336,1
33,42228,2,318,0
28,97924,0,334,0
65,31319,3,662,1
20,26475,0,717,0
64,34728,0,729,0
32,49545,0,817,0
23,81756,4,766,0
20,88775,0,498,1
68,58699,3,845,0
59,56821,4,510,1
51,50615,3,800,1
53,33746,4,540,0
47,42745,1,469,0
50,21245,1,593,0
27,44853,1,614,1
58,47632,1,426,0
45,32856,4,767,0
53,76893,0,666,0
22,90641,2,320,1
69,88049,2,615,1
31,78182,1,389,1
20,22801,0,703,1
63,99431,3,817,0
24,59749,0,750,1
49,93757,3,449,0
49,75654,2,745,1
36,91574,0,379,1
67,75381,0,316,0
66,78601,2,437,0
42,35082,0,807,1
34,34648,3,373,0
56,20364,0,373,0
40,54568,3,349,1
33,99646,1,309,1
21,91494,0,402,1
30,94632,3,687,1
58,27436,2,684,0
57,46754,1,598,0
53,80194,0,638,1
57,44544,3,688,1
69,80180,0,773,0
53,83295,3,441,0
37,32638,0,469,0
49,85715,1,312,1
34,89409,1,748,0
46,37157,0,473,1
53,65565,0,431,1
57,89996,4,839,1
52,85888,0,568,1
43,76095,0,550,0
34,84947,1,669,0
49,90880,0,825,1
61,24507,2,805,0
36,63988,0,477,0
24,36865,4,846,1
48,47213,3,558,0
23,75954,1,559,1
29,77450,2,434,0
36,24477,3,760,0
29,82222,2,788,0
36,26533,1,380,1
39,69395,4,666,1
43,43396,1,358,0
24,32755,2,373,0
53,20865,2,538,1
25,31173,1,428,0
21,78905,0,711,0
32,58097,1,614,0
62,53371,4,673,1
62,31254,1,736,0
67,24018,3,437,0
30,25192,0,754,1
66,22015,3,308,0
42,88916,1,531,1
35,48343,0,696,1
50,89306,3,617,0
30,25829,3,806,0
35,54381,0,821,1
27,38263,0,386,0
23,73260,2,617,0
59,63306,0,632,1
23,78418,1,659,1
44,20148,4,540,0
22,21754,2,355,0
51,46745,0,409,0
22,92914,4,348,1
46,75833,2,315,1
48,40140,1,372,1
51,94907,4,501,1
69,80653,0,392,1
38,81521,0,332,0
40,98315,1,718,0
24,51075,2,502,1
37,50697,4,611,0
47,74544,1,768,0
61,29795,2,693,0
41,84555,3,510,1
40,72204,3,455,0
25,89754,2,621,0
20,84860,0,734,1
24,71529,0,339,0
60,31672,3,339,1
31,74238,0,752,0
45,55950,0,489,1
65,31009,2,314,0
53,67096,2,423,1
68,39544,0,579,1
33,75728,2,347,1
45,49381,4,488,1
64,45287,3,603,0
46,84610,4,404,1
28,88122,4,668,1
45,88184,0,800,1
66,60081,0,759,1
41,65312,4,546,0
66,92943,4,563,1
49,72726,1,505,0
62,42211,1,806,1
67,49480,3,829,0
36,67780,4,663,0
45,77138,2,639,1
55,62503,1,706,1
20,77893,0,752,1
27,66193,4,449,1
68,81358,2,492,1
54,98182,2,446,1
34,42117,2,705,0
66,79056,0,482,1
41,78706,1,405,1
33,90429,2,535,1
45,29476,1,478,1
47,75006,3,731,1
42,89918,0,700,0
33,83155,1,824,1
43,87321,1,839,0
21,65798,2,622,1
64,97271,2,560,0
45,50177,0,698,1
33,63013,1,636,1
26,73450,4,599,1
22,67928,2,418,1
66,65382,2,712,0
42,20760,3,683,1
65,44142,0,779,1
62,37290,1,604,0
66,91035,1,495,0
64,20364,1,632,0
37,76921,2,319,1
57,39797,0,732,1
54,52535,1,725,1
34,66300,4,528,1
44,67176,3,823,0
56,36105,3,516,1
47,27939,1,674,0
29,99472,2,335,0
58,62029,3,327,0
36,35863,3,671,0
58,98097,3,385,0
41,30447,3,487,0
45,66940,1,604,0
63,97947,0,721,0
44,39642,0,379,1
36,87643,2,485,0
32,27928,4,304,0
39,68002,0,796,0
44,45017,4,808,1
23,99064,0,301,1
29,33313,0,516,1
22,21559,2,836,1
60,70893,3,556,0
64,35167,2,752,0
37,58598,0,723,0
66,27523,3,623,1
55,69777,3,798,1
66,48439,3,496,0
41,33285,4,803,0
53,30973,0,571,0
66,42694,1,317,0
27,55774,2,406,1
59,24302,4,828,1
68,42391,2,424,1
63,24611,1,782,0
38,29372,3,303,0
61,44312,1,650,1
60,34080,2,650,1
56,40874,1,527,0
25,82537,0,315,1
45,93914,1,724,1
53,21597,0,763,0
64,31600,1,545,1
25,23747,0,476,0
56,99415,0,842,1
52,98553,1,808,0
41,44815,4,532,1
40,44714,3,337,0
25,38890,3,790,0
25,81509,3,743,1
67,81824,0,319,1
23,24725,3,410,1
49,63205,0,786,1
30,40684,4,388,1
49,77911,1,618,1
50,33092,1,417,0
43,59770,0,733,0
28,45457,0,538,0
22,91667,4,371,0
50,82894,3,698,0
59,81305,4,703,1
56,32612,1,550,1
55,98627,1,494,1
43,57089,3,521,1
50,72137,1,481,0
25,20559,0,555,0
21,86249,1,387,1
39,57361,2,791,1
47,35261,3,635,0
30,40372,3,837,1
23,75355,3,706,0
34,77920,2,588,0
25,52544,4,661,0
68,20037,0,740,0
49,63032,3,329,1
57,98233,1,847,0
21,61420,0,522,1
34,54600,1,423,0
30,68285,0,514,1
27,82008,0,417,1
45,25167,1,526,1
64,20432,1,743,0
63,89687,0,848,1
24,91947,3,736,1
25,70903,1,311,0
45,74149,2,421,0
23,76768,2,846,0
38,80184,0,788,0
39,85792,4,550,0
52,53439,0,781,1
39,53257,0,849,0
68,64674,3,579,1
31,71248,3,636,1
66,65371,4,467,1
20,87996,4,627,0
45,57297,4,545,1
33,74273,4,600,0
57,81256,4,499,0
56,54743,0,799,0
30,88752,0,312,1
55,99803,2,665,1
32,95117,2,396,0
62,90051,1,370,0
22,42076,0,656,0
52,95312,4,843,1
25,22963,1,549,1
69,92322,3,553,0
29,33866,0,481,0
24,52305,2,465,1
42,82403,0,303,0
29,52813,0,762,0
63,86729,0,444,1
21,80686,0,464,0
32,24512,3,643,1
59,42666,2,404,0
21,36630,0,847,1
39,94519,3,613,1
20,20636,1,468,1
56,23775,0,819,1
28,87957,3,735,0
36,84591,4,811,0
28,98561,1,708,0
30,94816,2,735,0
34,31351,0,614,0
43,75184,0,841,1
57,89180,3,362,0
54,93309,2,331,0
49,30778,4,510,1
50,32501,1,762,1
68,22108,2,379,0
24,56382,0,642,0
63,95787,3,531,0
69,43341,4,428,0
33,97214,3,318,1
30,34367,1,656,0
28,89868,2,718,1
53,32002,3,380,1
31,79949,3,417,1
54,35700,0,793,0
54,99305,3,791,1
20,82543,4,524,1
59,49318,2,718,1
41,47610,1,436,1
48,92499,3,525,1
27,93374,4,633,1
30,85226,1,528,1
60,65167,4,622,1
56,97779,3,407,1
33,47939,3,744,1
49,81365,2,306,1
54,87381,0,427,1
40,66710,4,652,0
56,36766,0,566,1
24,32780,0,513,1
38,68458,1,546,1
33,76221,1,673,1
45,21509,4,720,0
23,54346,0,340,0
44,66874,2,647,1
64,46148,0,442,1
61,51533,1,440,0
44,98467,0,406,1
37,21359,3,332,1
59,80313,3,499,1
27,40344,2,418,1
58,89778,4,528,0
59,40601,0,484,1
33,39116,3,514,1
51,76985,4,429,1
57,50782,3,571,1
52,69819,4,307,0
42,89035,4,702,1
34,64458,3,668,1
52,28080,1,836,1
44,53957,4,352,1
36,33908,0,546,1
52,98287,3,636,1
66,67482,1,580,1
21,58314,3,332,1
33,94921,2,847,0
59,35831,0,642,0
59,40125,2,538,1
58,82451,4,791,1
25,65708,4,476,0
25,37682,2,343,1
22,55794,2,603,1
26,79372,4,568,1
27,59477,1,699,0
61,73863,0,730,0
34,58737,3,720,1
66,22620,2,430,0
48,55057,0,709,1
52,60138,3,524,1
49,99390,3,442,1
58,73024,2,839,1
46,29677,1,424,0
55,64111,1,511,0
48,44074,0,727,1
57,37824,0,736,1
52,20765,4,537,0
56,65439,1,627,0
46,68926,0,418,0
52,56860,4,345,1
23,32975,3,383,0
41,94877,0,651,0
21,97870,4,312,1
29,46548,1,471,0
24,58736,3,533,1
29,81562,0,480,0
52,60409,1,350,1
57,29834,3,694,0
32,20840,2,728,0
50,99409,1,573,1
66,51568,2,506,0
55,30846,0,447,1
64,25899,4,599,0
43,86101,0,752,0
34,58773,1,848,1
48,94723,2,682,1
27,92762,2,833,0
24,24311,3,532,1
48,76888,0,428,1
66,61616,0,536,0
23,72134,1,784,1
31,26083,2,540,0
64,32598,1,522,0
21,22580,1,398,0
46,77395,2,572,1
50,62321,1,698,0
55,29386,2,816,1
55,73171,1,729,0
45,39522,4,822,0
62,85532,1,647,1
46,34635,1,750,1
24,20671,4,341,0
39,53545,0,393,0
30,74079,2,785,1
29,46855,3,816,0
59,55790,4,449,1
57,71012,0,798,1
25,34260,1,670,1
27,85139,0,784,1
42,21074,4,682,1
66,62676,1,491,0
45,29475,0,520,0
65,98414,3,346,0
62,35120,2,426,0
31,43147,2,306,1
45,21986,4,415,0
32,52430,1,665,1
59,75479,1,345,1
37,22176,2,692,1
44,81918,0,322,1
52,47115,1,430,1
66,97442,3,426,0
59,60002,3,744,1
62,77124,1,608,0
31,26610,1,732,1
63,69752,2,772,0
55,98947,4,347,0
67,94716,2,381,0
23,67993,4,408,1
24,30073,3,562,1
56,57251,4,330,0
27,91437,2,657,0
61,58897,1,779,0
68,70906,4,488,0
47,71616,2,304,1
50,24482,3,585,0
28,92936,4,693,1
48,59574,3,754,0
33,63284,3,725,1
59,92932,0,326,0
60,27338,4,426,1
41,62718,2,434,1
30,32500,4,834,0
42,31545,4,630,0
20,81480,3,691,0
65,25241,3,307,0
56,42821,3,560,0
40,24695,3,498,0
45,97066,2,685,0
65,34318,1,771,0
55,70934,0,478,0
42,42331,3,749,0
20,72672,3,539,0
59,96860,0,823,1
34,88754,3,482,1
40,22837,1,657,1
66,60077,4,675,0
28,99915,0,837,0
28,24239,2,381,0
29,49669,0,657,1
45,68624,1,484,1
60,95147,2,587,0
54,24150,4,361,1
44,31109,3,806,1
45,46016,0,761,1
30,31936,2,329,0
57,31036,0,330,0
21,59236,4,592,0
26,34021,0,472,0
37,56943,2,427,1
46,70016,1,385,0
53,43244,2,614,1
46,83027,0,327,0
36,58985,4,421,0
62,21502,3,550,0
63,73836,3,702,0
43,23770,4,742,1
