ID,Year,Mileage,EngineSize,FuelType,Transmission,Horsepower,Price
120,2007,92629,3.2,2,0,125,99733
121,2021,225963,2.7,2,1,452,71024
122,2002,135612,5.4,1,1,302,96900
123,2000,27177,4.9,1,0,327,68992
124,2002,160555,4.1,0,1,57,53206
125,2004,53815,2.7,3,1,413,63734
126,2014,48533,4.5,2,0,248,71874
127,2013,10026,5.2,2,0,301,38901
128,2002,114997,4.0,2,1,433,68039
129,2000,70611,4.9,1,1,67,68475
130,2004,97242,4.7,1,1,439,8162
131,2022,165732,3.9,3,0,291,54390
132,2013,196175,2.6,1,1,302,94387
133,2006,193325,4.7,3,1,53,99524
134,2008,114913,2.0,1,1,422,12410
135,2014,52082,4.9,3,0,474,12120
136,2014,157330,5.0,1,1,286,31702
137,2009,113613,5.1,1,1,228,19810
138,2012,108315,3.4,0,0,61,41854
139,2018,99690,2.0,0,1,417,66769
140,2006,105220,1.5,0,0,342,68997
141,2016,25389,4.7,3,1,307,37682
142,2019,101860,5.4,3,0,308,86645
143,2003,168757,4.3,3,0,478,54928
144,2004,200292,1.7,3,1,134,51780
145,2022,168267,5.7,0,1,344,90698
146,2006,31797,5.9,2,0,382,85037
147,2012,121975,3.2,1,0,161,7948
148,2014,212382,4.0,1,1,487,45003
149,2010,107169,4.9,3,1,255,88613
150,2003,76332,4.7,0,0,271,81246
151,2012,246655,5.8,2,1,67,81861
152,2006,234997,1.6,0,1,62,22330
153,2018,203979,3.9,1,1,319,91175
154,2021,148260,4.5,3,1,90,52722
155,2001,33696,5.5,3,0,89,42705
156,2009,12024,5.4,0,1,138,11898
157,2012,214274,5.9,3,1,150,15994
158,2020,177057,3.6,2,0,268,6124
159,2005,147656,5.2,1,0,264,96360
160,2011,100998,3.1,2,1,353,86177
161,2011,168116,3.1,0,1,59,71924
162,2019,15285,2.3,1,0,266,62758
163,2010,204187,5.1,2,1,170,94565
164,2022,17370,5.9,2,0,359,26526
165,2006,27903,2.3,2,1,212,74183
166,2000,173571,1.3,1,1,201,86884
167,2000,107904,5.1,1,1,354,54991
168,2019,32995,4.1,3,1,475,38974
169,2012,115160,5.8,0,1,133,14847
170,2008,176272,2.3,3,1,251,51851
171,2002,98377,1.4,0,0,99,87470
172,2006,211474,3.5,1,1,198,79027
173,2005,154638,1.4,2,1,461,63664
174,2007,47822,2.3,3,1,269,75924
175,2008,117412,1.6,1,1,488,34259
176,2004,61222,2.1,1,0,204,48976
177,2000,104088,1.5,1,0,146,90899
178,2018,241157,5.8,3,1,373,18591
179,2009,100450,2.4,1,1,148,86917
180,2011,191740,3.2,0,0,389,56247
181,2014,119366,5.5,0,1,439,19946
182,2021,120078,4.4,2,1,235,66215
183,2008,73853,4.1,3,0,183,95533
184,2019,195715,4.5,3,0,365,18261
185,2016,133794,5.1,3,1,386,6985
186,2016,163405,5.4,3,1,196,80701
187,2019,157030,4.2,3,0,162,37414
188,2011,62442,5.5,1,0,494,27847
189,2006,162026,3.7,1,1,66,41514
190,2001,216246,2.4,0,1,482,12311
191,2002,240755,5.4,3,0,436,93153
192,2016,19675,3.7,3,1,415,83373
193,2004,99590,5.5,3,0,83,58176
194,2016,118570,1.2,0,0,111,16428
195,2016,41661,3.0,3,0,493,57835
196,2016,74289,5.7,3,1,245,13165
197,2001,27184,2.2,1,0,136,39561
198,2001,57963,5.7,0,0,428,76637
199,2021,166894,5.8,1,1,172,92298
200,2022,203375,5.4,2,0,303,47670
201,2004,217537,3.8,3,0,176,68081
202,2000,15267,4.2,2,1,387,27462
203,2000,193719,5.3,3,0,211,38451
204,2018,72814,4.9,2,1,462,59917
205,2001,46025,4.2,1,1,365,63776
206,2020,131246,5.9,0,0,221,60866
207,2011,87605,4.4,2,0,448,15680
208,2005,142053,5.9,1,0,350,32705
209,2022,53436,1.3,2,0,380,55943
210,2003,159544,1.7,2,0,408,92951
211,2022,160408,3.3,0,1,301,31393
212,2010,166659,2.9,1,1,58,75318
213,2016,87192,4.9,0,0,300,81895
214,2005,233934,1.8,3,0,288,90415
215,2004,225118,5.9,0,1,84,59418
216,2019,247439,2.6,0,0,315,17749
217,2001,194085,3.1,2,0,153,83452
218,2005,130591,2.4,2,0,471,71287
219,2021,94511,3.9,2,1,432,78131
220,2010,19665,1.3,1,1,206,73962
221,2015,168169,1.7,0,1,223,95777
222,2015,101277,4.7,3,1,247,29878
223,2000,62474,1.9,2,0,260,38479
224,2008,213045,2.2,3,0,267,21909
225,2005,166257,5.0,0,0,250,45089
226,2015,85911,1.5,0,1,282,82870
227,2002,102643,3.2,0,0,165,30335
228,2019,40484,1.1,3,1,350,9701
229,2003,111165,2.7,3,0,126,56698
230,2018,186682,4.5,3,1,267,29295
231,2002,191879,1.5,0,0,423,95217
232,2018,191979,5.4,0,0,102,29460
233,2019,198461,5.5,2,0,133,26219
234,2006,35835,1.5,1,0,307,71442
235,2019,236351,6.0,3,0,181,60453
236,2008,106453,2.5,1,0,248,43422
237,2000,245603,1.4,3,0,324,73461
238,2007,63790,1.0,3,0,404,99193
239,2006,218032,3.0,1,0,444,21518
240,2017,19643,4.1,1,1,132,5736
241,2007,85846,2.7,3,1,465,93953
242,2000,160023,5.2,0,1,298,13329
243,2010,233176,4.6,2,1,447,55589
244,2017,156305,2.8,3,1,482,26935
245,2022,23200,4.7,2,1,118,56439
246,2009,62275,5.7,0,0,458,11680
247,2002,228156,1.5,0,0,191,57235
248,2006,217140,2.5,2,1,472,93570
249,2015,99001,3.3,3,1,189,75970
250,2015,162363,3.5,2,0,429,38690
251,2019,52448,3.7,3,0,482,83418
252,2016,171652,2.5,1,0,389,16079
253,2001,101685,4.3,3,0,423,30404
254,2000,162418,4.2,1,1,422,31211
255,2015,20619,3.9,1,1,323,16729
256,2011,115454,1.6,2,0,306,50766
257,2004,11766,3.4,1,1,412,68479
258,2004,13549,2.8,2,1,53,8264
259,2022,159765,3.5,2,0,317,11825
260,2008,203091,5.6,0,0,459,26645
261,2008,238530,3.4,2,0,465,44159
262,2002,117938,1.1,0,0,406,92563
263,2018,137673,3.2,0,1,384,99930
264,2015,241352,5.1,2,0,357,32405
265,2015,58328,4.9,3,0,404,32970
266,2002,218773,3.6,3,1,139,58090
267,2019,230172,2.2,2,0,64,31608
268,2021,241866,3.3,1,0,185,86165
269,2000,35301,3.8,2,1,269,83753
270,2019,54763,6.0,1,0,335,43700
271,2010,161837,4.2,3,0,231,65295
272,2016,54787,4.5,1,1,176,93124
273,2007,130675,3.5,2,0,175,47933
274,2003,17425,2.8,1,0,244,98094
275,2005,22857,5.1,0,1,247,81797
276,2007,193843,3.5,0,1,400,88744
277,2019,102999,6.0,2,0,267,40734
278,2002,163516,3.3,2,0,57,11471
279,2015,51457,1.3,2,0,280,98054
280,2002,243352,4.4,3,0,240,89135
281,2017,220813,1.2,3,1,142,56557
282,2013,141776,2.3,3,1,194,51614
283,2017,15452,2.8,0,1,65,32706
284,2001,121153,4.7,1,0,162,57067
285,2021,48862,3.5,0,1,350,22066
286,2002,202543,1.1,1,0,245,37638
287,2015,210289,4.1,1,0,443,15487
288,2008,227130,3.1,2,1,452,42689
289,2003,28300,5.6,2,1,472,57221
290,2000,150638,3.5,3,1,355,8967
291,2003,148573,4.5,2,0,254,30507
292,2000,11845,2.1,0,1,365,81744
293,2013,129342,4.8,0,0,117,45223
294,2020,49181,4.6,0,1,176,42056
295,2015,198335,5.5,2,0,209,68163
296,2019,247366,1.2,2,1,385,13691
297,2007,249004,3.2,1,0,394,17439
298,2006,219838,4.4,1,0,497,84367
299,2002,204110,1.5,2,1,391,58822
300,2016,224362,3.1,0,0,201,92576
301,2000,44404,5.7,2,1,333,72574
302,2015,32564,3.2,3,0,200,19492
303,2011,107898,5.9,3,1,112,38084
304,2018,198507,1.3,0,1,423,7647
305,2021,28227,4.6,3,0,432,46946
306,2022,231368,3.9,2,1,233,84090
307,2021,105259,3.5,2,0,262,76193
308,2013,134451,5.9,1,0,122,19419
309,2005,188547,1.6,3,1,371,33867
310,2005,27215,5.5,3,1,471,61597
311,2012,140577,4.5,3,0,333,43717
312,2018,81074,2.3,3,0,203,9473
313,2021,162771,5.5,0,0,237,56089
314,2007,118621,3.1,0,0,109,21137
315,2001,153526,5.1,2,0,305,41638
316,2020,189289,2.9,3,1,232,93089
317,2000,116759,5.3,1,1,433,25718
318,2014,138471,4.2,2,0,74,28660
319,2000,31711,1.7,2,0,454,10209
320,2004,156131,4.2,0,0,74,40608
321,2015,58398,2.0,2,1,363,23039
322,2018,11286,3.1,1,1,87,78395
323,2003,175369,1.9,3,1,351,42905
324,2002,118304,1.1,2,0,418,22047
325,2016,114959,2.1,1,1,149,5501
326,2016,241253,3.7,0,1,437,59926
327,2011,249317,3.4,0,1,196,56071
328,2013,167557,3.5,3,1,495,28303
329,2020,69967,2.2,2,0,329,65970
330,2005,107803,4.4,1,0,104,87136
331,2002,139745,4.5,0,1,458,81770
332,2008,64583,2.8,1,1,121,93087
333,2004,134077,5.4,0,0,292,59765
334,2016,192702,4.2,0,0,176,43649
335,2013,121359,4.6,3,1,370,26479
336,2020,37086,2.4,1,1,303,27900
337,2002,157556,1.0,1,1,117,65005
338,2000,209695,5.3,1,0,445,18780
339,2019,114132,5.1,0,1,202,20861
340,2020,69263,1.6,3,0,198,92872
341,2022,159747,2.9,1,1,452,27041
342,2000,130155,4.3,2,1,275,79057
343,2002,70664,4.3,1,0,375,28705
344,2017,165752,5.3,0,1,229,87855
345,2009,158149,1.7,3,1,359,21141
346,2021,130474,3.1,1,1,468,43528
347,2002,179246,1.5,1,1,52,32229
348,2007,86968,2.9,1,1,338,85932
349,2013,144563,1.1,2,0,250,8345
350,2017,187198,5.5,0,1,56,55842
351,2014,144464,3.6,2,0,410,75331
352,2021,203329,5.2,2,0,204,91128
353,2022,77804,1.3,0,0,306,79668
354,2001,48400,2.1,0,0,217,55932
355,2009,177623,2.3,1,1,451,45547
356,2001,38088,2.9,0,0,212,51612
357,2016,221087,5.0,1,0,386,41277
358,2007,166537,2.9,2,0,344,64344
359,2000,189227,2.0,1,0,429,21401
360,2008,97893,1.3,0,0,60,52265
361,2010,15969,1.4,1,0,406,35155
362,2021,18981,4.8,2,0,350,87953
363,2015,162104,3.2,0,1,180,83696
364,2006,64091,4.6,0,1,254,21374
365,2009,117154,4.4,3,1,485,76417
366,2022,34408,1.7,1,0,365,18326
367,2002,165313,1.7,1,1,141,21948
368,2017,57940,4.8,1,0,363,79426
369,2012,224010,4.6,2,1,487,49086
370,2006,192177,2.9,2,1,160,52017
371,2003,232374,1.4,0,1,339,49187
372,2012,202122,1.1,0,1,296,79617
373,2019,13657,2.4,2,0,461,13582
374,2000,31230,1.0,1,1,110,44050
375,2007,159752,2.2,1,0,499,51753
376,2013,223766,3.1,2,1,426,24193
377,2015,94731,1.6,1,1,159,39940
378,2013,183412,1.5,2,0,499,17568
379,2011,177022,5.5,1,0,470,32063
380,2018,219587,3.9,1,0,449,12919
381,2022,148939,5.7,3,0,281,93165
382,2014,221763,2.7,0,0,174,32094
383,2001,219614,4.4,1,1,252,51684
384,2001,14329,2.0,1,0,478,29438
385,2022,229159,4.1,2,0,320,73017
386,2021,45865,1.6,3,0,309,72594
387,2018,208012,1.0,3,0,72,77163
388,2021,47869,5.7,2,0,249,5414
389,2021,207977,3.8,2,0,129,61649
390,2016,130185,5.6,2,1,321,52925
391,2019,246041,2.7,1,0,393,33495
392,2009,93984,2.6,2,0,102,42431
393,2005,135172,3.0,0,1,315,37628
394,2014,111069,4.5,2,1,467,81637
395,2021,99711,3.8,1,1,451,47704
396,2010,76252,5.6,0,1,102,29836
397,2004,89386,1.1,1,1,321,28119
398,2000,128728,4.5,0,1,433,91595
399,2007,142783,2.7,0,0,277,37392
400,2020,35801,1.9,0,1,495,60636
401,2011,228359,3.6,1,0,229,55121
402,2011,245637,3.5,0,1,420,5094
403,2004,100709,1.7,3,1,362,82520
404,2006,63270,2.0,3,1,249,10230
405,2003,212694,3.0,1,0,241,66765
406,2005,65535,3.0,3,1,72,59493
407,2012,217831,2.6,0,1,89,77974
408,2019,26220,1.7,2,1,447,14066
409,2014,23392,1.0,2,1,385,50149
410,2002,226659,5.9,0,1,279,67436
411,2022,143318,5.7,3,1,67,46295
412,2007,30010,3.4,0,0,271,31100
413,2019,136951,6.0,2,1,213,87083
414,2015,78358,4.4,2,1,472,98053
415,2012,231275,1.3,1,1,409,66807
416,2017,158306,1.6,2,1,218,20655
417,2009,106190,5.6,1,1,50,79046
418,2018,125795,4.2,3,0,386,22662
419,2016,190523,5.2,0,1,397,47768
420,2018,132790,5.5,1,0,303,65287
421,2022,135223,3.2,0,0,248,74301
422,2004,85205,1.2,1,1,261,87106
423,2020,162856,1.9,3,1,219,52128
424,2022,170744,1.3,3,1,201,11285
425,2008,11082,1.9,1,0,422,54579
426,2011,152220,3.1,1,0,114,41888
427,2020,168566,1.6,3,1,67,66916
428,2000,247543,1.8,0,1,139,28374
429,2000,85093,3.2,3,0,63,8758
430,2014,61952,2.7,0,0,68,84278
431,2001,46719,3.3,1,0,131,18543
432,2021,58737,3.1,0,1,298,6680
433,2015,200525,4.2,1,1,158,20704
434,2007,117271,5.7,0,1,56,92062
435,2012,180608,1.5,1,0,369,68469
436,2020,191676,1.5,2,1,51,14445
437,2000,191905,5.3,2,1,312,95128
438,2015,155111,3.5,3,0,77,51364
439,2006,77839,4.8,3,1,397,91017
440,2004,57931,2.1,1,0,386,78994
441,2021,49925,5.1,0,1,335,17210
442,2022,192075,5.6,1,1,303,96984
443,2002,224889,4.2,2,1,134,51085
444,2011,189969,1.5,2,1,250,76469
445,2015,97745,5.5,1,1,341,10356
446,2018,136298,5.0,2,1,421,57758
447,2004,103709,4.8,3,1,327,64193
448,2021,52287,1.2,1,0,384,76612
449,2013,231798,5.0,3,0,127,89191
450,2004,174084,1.7,3,1,460,49582
451,2014,117252,2.1,3,0,259,38708
452,2016,182855,3.9,2,0,175,49444
453,2013,119323,2.3,0,1,59,51110
454,2019,226799,4.3,0,0,289,13664
455,2004,209387,4.0,0,1,327,87433
456,2011,224838,1.5,3,1,456,75997
457,2015,187563,4.3,1,0,357,79027
458,2015,230013,5.6,3,1,219,23885
459,2020,199656,1.8,3,0,218,15878
460,2006,22803,4.0,1,0,353,90881
461,2003,190697,2.7,0,0,374,40296
462,2000,128819,3.3,0,0,484,23740
463,2004,103361,2.4,0,0,306,9171
464,2022,23698,2.8,3,0,402,82783
465,2009,175632,1.1,3,0,299,97546
466,2021,25376,5.9,2,0,233,69861
467,2004,224726,4.1,0,1,278,49306
468,2003,23117,3.5,3,1,376,12468
469,2001,246591,2.9,2,0,457,32580
470,2019,197453,3.7,3,0,448,20414
471,2009,179028,2.9,3,0,252,83283
472,2018,58786,2.8,0,1,221,37753
473,2000,123005,3.3,1,0,130,31140
474,2004,244657,2.4,3,0,98,27319
475,2012,228850,1.9,3,0,264,80591
476,2003,76480,3.8,3,0,226,68800
477,2015,172767,5.2,0,0,144,85026
478,2015,142583,1.8,3,0,167,60775
479,2022,63233,1.2,2,0,147,64223
480,2001,121022,2.2,0,1,123,8176
481,2016,163574,5.9,2,0,86,14290
482,2019,191082,5.1,0,1,379,28792
483,2011,231413,4.0,3,0,475,18702
484,2017,102529,5.6,3,1,236,90642
485,2002,214977,3.2,2,0,433,81901
486,2000,187561,5.9,2,1,315,82942
487,2000,110919,2.5,0,1,284,81826
488,2018,93533,2.2,0,0,407,13873
489,2010,222237,4.2,1,1,358,34837
490,2004,173021,2.9,1,0,475,57377
491,2011,209448,4.1,1,0,441,46142
492,2002,220659,2.5,3,0,380,77906
493,2000,234131,4.1,2,1,389,15422
494,2000,208382,2.4,2,1,457,13364
495,2007,219870,1.3,1,1,356,81317
496,2009,79407,5.6,1,0,120,64201
497,2010,83809,5.4,0,0,493,56353
498,2011,27229,5.9,1,1,198,28128
499,2012,168457,4.6,2,0,413,48392
500,2011,52176,4.4,0,0,486,95844
501,2013,104825,3.8,1,1,311,14111
502,2001,144332,1.6,3,0,336,96446
503,2018,107555,1.9,1,0,189,29421
504,2017,13145,2.4,3,1,406,53960
505,2002,107289,5.5,1,1,446,51104
506,2022,148874,1.9,0,1,354,92137
507,2016,12263,5.6,3,0,80,43187
508,2007,167985,3.6,3,0,314,27411
509,2009,67788,4.6,0,0,204,46833
510,2001,149227,1.6,3,1,165,22101
511,2018,141994,2.3,0,0,486,60955
512,2008,213303,5.8,1,1,258,15734
513,2006,161744,2.3,0,0,164,50479
514,2003,179598,2.5,0,0,100,59088
515,2020,55344,2.0,0,0,121,74892
516,2017,132819,1.6,0,0,460,61448
517,2012,160086,2.2,2,0,177,71058
518,2010,83352,4.2,3,0,473,35709
519,2003,232351,3.3,1,0,298,85293
520,2020,50324,3.8,0,1,367,43416
521,2003,104075,1.6,2,0,363,24011
522,2009,236710,5.0,2,1,192,79143
523,2004,179770,4.9,1,0,216,24460
524,2008,87169,1.1,3,1,119,27996
525,2002,33384,2.9,1,1,57,91772
526,2016,13512,1.3,0,1,212,50806
527,2002,147138,5.0,3,0,112,64110
528,2015,172572,4.7,3,1,336,14955
529,2003,133775,5.5,1,1,283,96621
530,2017,88743,2.2,1,1,267,21937
531,2016,95642,3.3,3,0,475,42350
532,2006,139587,1.9,1,1,393,12970
533,2022,89858,2.9,3,1,420,78294
534,2004,64800,3.6,1,1,302,97788
535,2011,204212,1.3,3,1,243,52864
536,2016,110364,4.6,0,0,346,82524
537,2022,226026,3.7,2,1,306,17034
538,2012,12387,5.1,1,1,379,94111
539,2022,197232,2.4,3,1,291,39166
540,2002,200313,5.5,2,1,338,47731
541,2008,214639,6.0,2,1,157,61004
542,2016,142871,5.6,2,0,86,73964
543,2016,129095,4.9,1,1,429,61791
544,2019,45548,5.1,1,0,362,52278
545,2015,174967,3.9,0,1,60,7612
546,2021,100450,2.0,1,1,133,30542
547,2012,115669,4.4,1,0,267,65114
548,2018,90171,4.6,1,0,287,69824
549,2016,181451,5.9,2,0,96,41564
550,2003,55414,3.7,0,1,499,18509
551,2011,83071,2.4,2,0,394,45743
552,2008,122808,4.4,0,0,428,30597
553,2018,248740,5.9,1,1,181,12170
554,2011,209416,1.9,3,1,260,90040
555,2008,88591,2.6,1,1,254,24469
556,2006,234213,3.7,2,1,132,20763
557,2013,233273,1.9,2,0,126,33365
558,2019,239375,1.1,2,0,488,16457
559,2018,14297,2.7,0,0,189,81568
560,2014,119513,5.3,2,1,177,47920
561,2015,138668,1.2,3,1,115,87166
562,2020,96479,3.1,3,1,470,65990
563,2004,108752,4.8,1,1,291,62775
564,2002,146080,5.8,0,0,200,62878
565,2011,227885,5.9,0,0,104,93171
566,2019,125481,3.1,1,1,196,25655
567,2020,157892,5.8,2,1,116,41726
568,2003,212620,1.2,2,1,200,56726
569,2020,163325,4.7,1,1,53,50874
570,2022,170274,4.2,1,0,67,9247
571,2015,170308,2.2,1,1,61,26779
572,2006,77156,3.5,1,0,305,83647
573,2012,70263,1.6,0,1,84,81056
574,2020,128996,5.4,0,1,460,39389
575,2009,109252,2.8,2,1,92,89915
576,2006,128632,4.1,0,1,127,56122
577,2013,84855,1.8,0,1,400,46390
578,2004,26575,2.0,0,1,372,82821
579,2002,22204,6.0,1,1,369,98775
580,2022,21952,4.8,0,1,398,32818
581,2010,93323,5.8,2,0,408,72654
582,2010,192214,2.5,0,1,101,33728
583,2017,174944,1.8,1,1,66,7214
584,2014,170448,3.5,0,1,260,75262
585,2011,207156,3.5,3,0,276,87716
586,2008,152712,1.9,2,0,82,73843
587,2009,36437,4.7,0,1,377,7969
588,2011,137129,2.8,2,1,485,14613
589,2016,97681,1.9,1,0,468,27847
590,2005,17903,2.7,2,0,453,10934
591,2006,224776,3.8,3,0,386,9627
592,2013,36863,4.6,3,1,350,25486
593,2012,53381,3.4,2,1,126,96857
594,2007,38548,3.6,1,0,117,95349
595,2009,191028,1.7,2,0,99,94949
596,2008,215598,5.6,0,1,491,52999
597,2017,21467,5.6,0,1,207,10233
598,2001,67954,4.4,2,1,247,17779
599,2004,33901,1.1,0,1,307,69820
600,2004,197055,3.7,0,0,426,90149
601,2005,33301,4.1,1,1,83,46964
602,2018,134686,6.0,2,1,485,78537
603,2007,243614,6.0,0,0,261,59670
604,2015,95180,5.3,2,1,321,22022
605,2012,79903,1.3,2,0,429,12903
606,2000,113955,5.8,0,0,476,53581
607,2021,157276,4.1,1,1,113,16099
608,2019,29755,5.0,1,1,204,33791
609,2016,69817,3.0,3,0,370,62272
610,2006,12093,2.6,2,0,318,75296
611,2012,210609,3.3,3,1,89,72094
612,2003,106319,1.7,1,1,209,37395
613,2003,32940,2.8,0,1,372,18231
614,2005,214418,5.3,0,0,63,15863
615,2018,185112,1.2,1,1,425,29201
616,2011,178394,1.8,1,0,169,73496
617,2021,138714,1.6,2,1,363,99838
618,2006,101544,3.0,3,0,397,50697
619,2009,94437,6.0,3,0,95,69187
620,2018,102969,1.9,1,0,395,14727
621,2006,117001,1.7,2,1,431,38260
622,2002,97725,5.6,0,1,159,45648
623,2012,125784,5.4,1,0,420,24374
624,2012,120675,1.2,3,1,268,15636
625,2017,104266,4.8,2,0,492,53713
626,2019,19236,4.3,2,0,170,24967
627,2007,82597,4.8,2,0,498,18979
628,2008,225196,3.5,3,0,338,76601
629,2006,144974,6.0,2,1,95,96241
630,2000,109656,1.2,0,1,387,99075
631,2002,44364,2.2,3,1,430,20857
632,2012,117071,3.0,1,1,103,72917
633,2016,240055,3.2,2,0,371,67098
634,2000,104410,5.6,3,0,437,30973
635,2005,161168,3.8,1,0,103,33122
636,2020,153092,1.2,1,1,419,7499
637,2005,68473,3.0,0,1,53,9279
638,2011,54153,3.1,1,1,450,37653
639,2012,182349,5.8,0,0,289,34589
640,2012,228293,4.0,3,1,129,84743
641,2014,48502,4.2,0,1,250,48385
642,2020,25675,4.6,3,1,251,64568
643,2015,165437,4.9,3,1,305,42474
644,2021,228884,4.2,2,0,248,15275
645,2020,128384,2.2,0,1,122,37992
646,2010,88229,5.4,3,0,488,15232
647,2004,99049,4.7,2,0,225,11999
648,2003,193220,4.7,0,0,268,55468
649,2002,99157,6.0,0,1,273,8544
650,2018,230319,5.0,1,0,482,20612
651,2019,115711,5.1,2,0,456,18362
652,2017,120090,5.8,1,1,332,85024
653,2014,103321,1.8,3,0,330,92893
654,2008,209150,3.5,0,0,142,40564
655,2016,223670,3.9,3,1,201,45196
656,2013,211974,2.6,2,1,129,56965
657,2014,36465,5.2,0,1,257,68592
658,2000,42286,4.8,3,1,141,9462
659,2020,64795,4.6,0,1,69,69828
660,2021,181250,6.0,1,1,102,5832
661,2021,118139,2.3,2,1,132,34779
662,2002,220255,4.7,2,0,123,92750
663,2015,113845,3.8,2,1,459,34740
