Causas (lista reducida);Sexo;Mes de fallecimiento;Total
00A Covid-19 Virus identificado;Ambos sexos;Junio;943
00A Covid-19 Virus identificado;Hombres;Todos los meses;1.478
00A Covid-19 Virus identificado;Hombres;Enero;619
00A Covid-19 Virus identificado;Hombres;Febrero;114
00A Covid-19 Virus identificado;Hombres;Marzo;61
00A Covid-19 Virus identificado;Hombres;Abril;51
00A Covid-19 Virus identificado;Hombres;Mayo;134
00A Covid-19 Virus identificado;Hombres;Junio;499
00A Covid-19 Virus identificado;Mujeres;Todos los meses;1.304
00A Covid-19 Virus identificado;Mujeres;Enero;564
00A Covid-19 Virus identificado;Mujeres;Febrero;119
00A Covid-19 Virus identificado;Mujeres;Marzo;51
00A Covid-19 Virus identificado;Mujeres;Abril;36
00A Covid-19 Virus identificado;Mujeres;Mayo;90
00A Covid-19 Virus identificado;Mujeres;Junio;444
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Todos los meses;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Enero;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Febrero;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Marzo;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Abril;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Mayo;0
00B Covid-19 Virus no identificado (sospechoso);Ambos sexos;Junio;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Todos los meses;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Enero;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Febrero;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Marzo;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Abril;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Mayo;0
00B Covid-19 Virus no identificado (sospechoso);Hombres;Junio;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Todos los meses;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Enero;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Febrero;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Marzo;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Abril;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Mayo;0
00B Covid-19 Virus no identificado (sospechoso);Mujeres;Junio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Todos los meses;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Enero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Marzo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Mayo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Ambos sexos;Junio;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Todos los meses;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Enero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Marzo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Mayo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Hombres;Junio;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Todos los meses;1
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Enero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Febrero;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Marzo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Abril;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Mayo;0
00C Síndrome inflamatorio multisistémico asociado con COVID-19, no especificado;Mujeres;Junio;1
001 Enfermedades infecciosas intestinales;Ambos sexos;Todos los meses;647
001 Enfermedades infecciosas intestinales;Ambos sexos;Enero;113
001 Enfermedades infecciosas intestinales;Ambos sexos;Febrero;93
001 Enfermedades infecciosas intestinales;Ambos sexos;Marzo;116
001 Enfermedades infecciosas intestinales;Ambos sexos;Abril;113
001 Enfermedades infecciosas intestinales;Ambos sexos;Mayo;108
001 Enfermedades infecciosas intestinales;Ambos sexos;Junio;104
001 Enfermedades infecciosas intestinales;Hombres;Todos los meses;232
001 Enfermedades infecciosas intestinales;Hombres;Enero;41
001 Enfermedades infecciosas intestinales;Hombres;Febrero;33
001 Enfermedades infecciosas intestinales;Hombres;Marzo;30
001 Enfermedades infecciosas intestinales;Hombres;Abril;46
001 Enfermedades infecciosas intestinales;Hombres;Mayo;48
001 Enfermedades infecciosas intestinales;Hombres;Junio;34
001 Enfermedades infecciosas intestinales;Mujeres;Todos los meses;415
001 Enfermedades infecciosas intestinales;Mujeres;Enero;72
001 Enfermedades infecciosas intestinales;Mujeres;Febrero;60
001 Enfermedades infecciosas intestinales;Mujeres;Marzo;86
001 Enfermedades infecciosas intestinales;Mujeres;Abril;67
001 Enfermedades infecciosas intestinales;Mujeres;Mayo;60
001 Enfermedades infecciosas intestinales;Mujeres;Junio;70
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Todos los meses;108
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Enero;23
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Febrero;22
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Marzo;14
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Abril;14
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Mayo;21
002 Tuberculosis y sus efectos tardíos;Ambos sexos;Junio;14
002 Tuberculosis y sus efectos tardíos;Hombres;Todos los meses;76
002 Tuberculosis y sus efectos tardíos;Hombres;Enero;18
002 Tuberculosis y sus efectos tardíos;Hombres;Febrero;13
002 Tuberculosis y sus efectos tardíos;Hombres;Marzo;10
002 Tuberculosis y sus efectos tardíos;Hombres;Abril;14
002 Tuberculosis y sus efectos tardíos;Hombres;Mayo;13
002 Tuberculosis y sus efectos tardíos;Hombres;Junio;8
002 Tuberculosis y sus efectos tardíos;Mujeres;Todos los meses;32
002 Tuberculosis y sus efectos tardíos;Mujeres;Enero;5
002 Tuberculosis y sus efectos tardíos;Mujeres;Febrero;9
002 Tuberculosis y sus efectos tardíos;Mujeres;Marzo;4
002 Tuberculosis y sus efectos tardíos;Mujeres;Abril;0
002 Tuberculosis y sus efectos tardíos;Mujeres;Mayo;8
002 Tuberculosis y sus efectos tardíos;Mujeres;Junio;6
003 Enfermedad meningocócica;Ambos sexos;Todos los meses;12
003 Enfermedad meningocócica;Ambos sexos;Enero;3
003 Enfermedad meningocócica;Ambos sexos;Febrero;2
003 Enfermedad meningocócica;Ambos sexos;Marzo;3
003 Enfermedad meningocócica;Ambos sexos;Abril;2
003 Enfermedad meningocócica;Ambos sexos;Mayo;0
003 Enfermedad meningocócica;Ambos sexos;Junio;2
003 Enfermedad meningocócica;Hombres;Todos los meses;3
003 Enfermedad meningocócica;Hombres;Enero;0
003 Enfermedad meningocócica;Hombres;Febrero;0
003 Enfermedad meningocócica;Hombres;Marzo;2
003 Enfermedad meningocócica;Hombres;Abril;1
003 Enfermedad meningocócica;Hombres;Mayo;0
003 Enfermedad meningocócica;Hombres;Junio;0
003 Enfermedad meningocócica;Mujeres;Todos los meses;9
003 Enfermedad meningocócica;Mujeres;Enero;3
003 Enfermedad meningocócica;Mujeres;Febrero;2
003 Enfermedad meningocócica;Mujeres;Marzo;1
003 Enfermedad meningocócica;Mujeres;Abril;1
003 Enfermedad meningocócica;Mujeres;Mayo;0
003 Enfermedad meningocócica;Mujeres;Junio;2
004 Septicemia;Ambos sexos;Todos los meses;1.435
004 Septicemia;Ambos sexos;Enero;306
004 Septicemia;Ambos sexos;Febrero;220
004 Septicemia;Ambos sexos;Marzo;215
004 Septicemia;Ambos sexos;Abril;225
004 Septicemia;Ambos sexos;Mayo;245
004 Septicemia;Ambos sexos;Junio;224
004 Septicemia;Hombres;Todos los meses;684
004 Septicemia;Hombres;Enero;157
004 Septicemia;Hombres;Febrero;102
004 Septicemia;Hombres;Marzo;91
004 Septicemia;Hombres;Abril;108
004 Septicemia;Hombres;Mayo;113
004 Septicemia;Hombres;Junio;113
004 Septicemia;Mujeres;Todos los meses;751
004 Septicemia;Mujeres;Enero;149
004 Septicemia;Mujeres;Febrero;118
004 Septicemia;Mujeres;Marzo;124
004 Septicemia;Mujeres;Abril;117
004 Septicemia;Mujeres;Mayo;132
004 Septicemia;Mujeres;Junio;111
005 Hepatitis vírica;Ambos sexos;Todos los meses;185
005 Hepatitis vírica;Ambos sexos;Enero;39
005 Hepatitis vírica;Ambos sexos;Febrero;21
005 Hepatitis vírica;Ambos sexos;Marzo;32
005 Hepatitis vírica;Ambos sexos;Abril;31
005 Hepatitis vírica;Ambos sexos;Mayo;37
005 Hepatitis vírica;Ambos sexos;Junio;25
005 Hepatitis vírica;Hombres;Todos los meses;109
005 Hepatitis vírica;Hombres;Enero;24
005 Hepatitis vírica;Hombres;Febrero;13
005 Hepatitis vírica;Hombres;Marzo;17
005 Hepatitis vírica;Hombres;Abril;14
005 Hepatitis vírica;Hombres;Mayo;21
005 Hepatitis vírica;Hombres;Junio;20
005 Hepatitis vírica;Mujeres;Todos los meses;76
005 Hepatitis vírica;Mujeres;Enero;15
005 Hepatitis vírica;Mujeres;Febrero;8
005 Hepatitis vírica;Mujeres;Marzo;15
005 Hepatitis vírica;Mujeres;Abril;17
005 Hepatitis vírica;Mujeres;Mayo;16
005 Hepatitis vírica;Mujeres;Junio;5
006 SIDA;Ambos sexos;Todos los meses;143
006 SIDA;Ambos sexos;Enero;37
006 SIDA;Ambos sexos;Febrero;24
006 SIDA;Ambos sexos;Marzo;24
006 SIDA;Ambos sexos;Abril;17
006 SIDA;Ambos sexos;Mayo;23
006 SIDA;Ambos sexos;Junio;18
006 SIDA;Hombres;Todos los meses;112
006 SIDA;Hombres;Enero;24
006 SIDA;Hombres;Febrero;20
006 SIDA;Hombres;Marzo;22
006 SIDA;Hombres;Abril;13
006 SIDA;Hombres;Mayo;21
006 SIDA;Hombres;Junio;12
006 SIDA;Mujeres;Todos los meses;31
006 SIDA;Mujeres;Enero;13
006 SIDA;Mujeres;Febrero;4
006 SIDA;Mujeres;Marzo;2
006 SIDA;Mujeres;Abril;4
006 SIDA;Mujeres;Mayo;2
006 SIDA;Mujeres;Junio;6
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Todos los meses;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Enero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Febrero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Marzo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Abril;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Mayo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Ambos sexos;Junio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Todos los meses;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Enero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Febrero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Marzo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Abril;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Mayo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Hombres;Junio;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Todos los meses;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Enero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Febrero;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Marzo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Abril;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Mayo;0
007 VIH+ (portador, evidencias de laboratorio del VIH,...);Mujeres;Junio;0
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Todos los meses;1.107
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Enero;342
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Febrero;193
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Marzo;181
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Abril;151
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Mayo;132
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Ambos sexos;Junio;108
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Todos los meses;511
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Enero;142
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Febrero;87
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Marzo;93
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Abril;66
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Mayo;70
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Hombres;Junio;53
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Todos los meses;596
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Enero;200
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Febrero;106
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Marzo;88
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Abril;85
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Mayo;62
008 Resto de enfermedades infecciosas y parasitarias y sus efectos tardíos;Mujeres;Junio;55
009-041 II.Tumores;Ambos sexos;Todos los meses;57.117
009-041 II.Tumores;Ambos sexos;Enero;10.130
009-041 II.Tumores;Ambos sexos;Febrero;9.174
009-041 II.Tumores;Ambos sexos;Marzo;9.692
009-041 II.Tumores;Ambos sexos;Abril;9.421
009-041 II.Tumores;Ambos sexos;Mayo;9.733
009-041 II.Tumores;Ambos sexos;Junio;8.967
009-041 II.Tumores;Hombres;Todos los meses;33.657
009-041 II.Tumores;Hombres;Enero;5.984
009-041 II.Tumores;Hombres;Febrero;5.426
009-041 II.Tumores;Hombres;Marzo;5.699
009-041 II.Tumores;Hombres;Abril;5.543
009-041 II.Tumores;Hombres;Mayo;5.692
009-041 II.Tumores;Hombres;Junio;5.313
009-041 II.Tumores;Mujeres;Todos los meses;23.460
009-041 II.Tumores;Mujeres;Enero;4.146
009-041 II.Tumores;Mujeres;Febrero;3.748
009-041 II.Tumores;Mujeres;Marzo;3.993
009-041 II.Tumores;Mujeres;Abril;3.878
009-041 II.Tumores;Mujeres;Mayo;4.041
009-041 II.Tumores;Mujeres;Junio;3.654
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Todos los meses;1.237
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Enero;219
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Febrero;195
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Marzo;233
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Abril;226
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Mayo;180
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Ambos sexos;Junio;184
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Todos los meses;851
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Enero;153
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Febrero;130
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Marzo;159
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Abril;158
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Mayo;125
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Hombres;Junio;126
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Todos los meses;386
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Enero;66
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Febrero;65
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Marzo;74
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Abril;68
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Mayo;55
009 Tumor maligno del labio, de la cavidad bucal y de la faringe;Mujeres;Junio;58
010 Tumor maligno del esófago;Ambos sexos;Todos los meses;966
010 Tumor maligno del esófago;Ambos sexos;Enero;147
010 Tumor maligno del esófago;Ambos sexos;Febrero;170
010 Tumor maligno del esófago;Ambos sexos;Marzo;130
010 Tumor maligno del esófago;Ambos sexos;Abril;185
010 Tumor maligno del esófago;Ambos sexos;Mayo;171
010 Tumor maligno del esófago;Ambos sexos;Junio;163
010 Tumor maligno del esófago;Hombres;Todos los meses;782
010 Tumor maligno del esófago;Hombres;Enero;116
010 Tumor maligno del esófago;Hombres;Febrero;140
010 Tumor maligno del esófago;Hombres;Marzo;102
010 Tumor maligno del esófago;Hombres;Abril;154
010 Tumor maligno del esófago;Hombres;Mayo;137
010 Tumor maligno del esófago;Hombres;Junio;133
010 Tumor maligno del esófago;Mujeres;Todos los meses;184
010 Tumor maligno del esófago;Mujeres;Enero;31
010 Tumor maligno del esófago;Mujeres;Febrero;30
010 Tumor maligno del esófago;Mujeres;Marzo;28
010 Tumor maligno del esófago;Mujeres;Abril;31
010 Tumor maligno del esófago;Mujeres;Mayo;34
010 Tumor maligno del esófago;Mujeres;Junio;30
011 Tumor maligno del estómago;Ambos sexos;Todos los meses;2.314
011 Tumor maligno del estómago;Ambos sexos;Enero;419
011 Tumor maligno del estómago;Ambos sexos;Febrero;358
011 Tumor maligno del estómago;Ambos sexos;Marzo;394
011 Tumor maligno del estómago;Ambos sexos;Abril;396
011 Tumor maligno del estómago;Ambos sexos;Mayo;386
011 Tumor maligno del estómago;Ambos sexos;Junio;361
011 Tumor maligno del estómago;Hombres;Todos los meses;1.360
011 Tumor maligno del estómago;Hombres;Enero;253
011 Tumor maligno del estómago;Hombres;Febrero;209
011 Tumor maligno del estómago;Hombres;Marzo;224
011 Tumor maligno del estómago;Hombres;Abril;243
011 Tumor maligno del estómago;Hombres;Mayo;223
011 Tumor maligno del estómago;Hombres;Junio;208
011 Tumor maligno del estómago;Mujeres;Todos los meses;954
011 Tumor maligno del estómago;Mujeres;Enero;166
011 Tumor maligno del estómago;Mujeres;Febrero;149
011 Tumor maligno del estómago;Mujeres;Marzo;170
011 Tumor maligno del estómago;Mujeres;Abril;153
011 Tumor maligno del estómago;Mujeres;Mayo;163
011 Tumor maligno del estómago;Mujeres;Junio;153
012 Tumor maligno del colon;Ambos sexos;Todos los meses;5.171
012 Tumor maligno del colon;Ambos sexos;Enero;926
012 Tumor maligno del colon;Ambos sexos;Febrero;809
012 Tumor maligno del colon;Ambos sexos;Marzo;903
012 Tumor maligno del colon;Ambos sexos;Abril;845
012 Tumor maligno del colon;Ambos sexos;Mayo;882
012 Tumor maligno del colon;Ambos sexos;Junio;806
012 Tumor maligno del colon;Hombres;Todos los meses;2.915
012 Tumor maligno del colon;Hombres;Enero;544
012 Tumor maligno del colon;Hombres;Febrero;462
012 Tumor maligno del colon;Hombres;Marzo;513
012 Tumor maligno del colon;Hombres;Abril;463
012 Tumor maligno del colon;Hombres;Mayo;478
012 Tumor maligno del colon;Hombres;Junio;455
012 Tumor maligno del colon;Mujeres;Todos los meses;2.256
012 Tumor maligno del colon;Mujeres;Enero;382
012 Tumor maligno del colon;Mujeres;Febrero;347
012 Tumor maligno del colon;Mujeres;Marzo;390
012 Tumor maligno del colon;Mujeres;Abril;382
012 Tumor maligno del colon;Mujeres;Mayo;404
012 Tumor maligno del colon;Mujeres;Junio;351
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Todos los meses;2.050
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Enero;382
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Febrero;345
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Marzo;348
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Abril;314
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Mayo;340
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Ambos sexos;Junio;321
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Todos los meses;1.248
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Enero;231
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Febrero;232
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Marzo;209
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Abril;188
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Mayo;200
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Hombres;Junio;188
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Todos los meses;802
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Enero;151
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Febrero;113
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Marzo;139
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Abril;126
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Mayo;140
013 Tumor maligno del recto, de la porción rectosigmoide y del ano;Mujeres;Junio;133
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Todos los meses;2.541
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Enero;446
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Febrero;410
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Marzo;431
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Abril;433
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Mayo;418
014 Tumor maligno del hígado y vías biliares intrahepáticas;Ambos sexos;Junio;403
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Todos los meses;1.788
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Enero;321
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Febrero;283
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Marzo;304
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Abril;304
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Mayo;302
014 Tumor maligno del hígado y vías biliares intrahepáticas;Hombres;Junio;274
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Todos los meses;753
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Enero;125
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Febrero;127
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Marzo;127
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Abril;129
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Mayo;116
014 Tumor maligno del hígado y vías biliares intrahepáticas;Mujeres;Junio;129
015 Tumor maligno del páncreas;Ambos sexos;Todos los meses;4.022
015 Tumor maligno del páncreas;Ambos sexos;Enero;650
015 Tumor maligno del páncreas;Ambos sexos;Febrero;682
015 Tumor maligno del páncreas;Ambos sexos;Marzo;678
