Causas (lista reducida),Sexo,Tamaño de municipio y capital de residencia,Edad,Total
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 35 a 39 años,76.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 40 a 44 años,146.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 45 a 49 años,245.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 50 a 54 años,447.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 55 a 59 años,731.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 60 a 64 años,1.047
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 65 a 69 años,1.328
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 70 a 74 años,1.672
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 75 a 79 años,2.449
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 80 a 84 años,3.078
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 85 a 89 años,4.329
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 90 a 94 años,4.351
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 10.001 a  20.000 habitantes,De 95 años y más,2.024
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,Todas las edades,33.243
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,Menores de 1 año,79.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 1 a 4 años,14.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 5 a 9 años,12.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 10 a 14 años,18.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 15 a 19 años,38.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 20 a 24 años,67.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 25 a 29 años,67.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 30 a 34 años,94.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 35 a 39 años,145.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 40 a 44 años,265.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 45 a 49 años,503.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 50 a 54 años,736.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 55 a 59 años,1.187
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 60 a 64 años,1.736
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 65 a 69 años,2.144
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 70 a 74 años,2.756
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 75 a 79 años,3.906
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 80 a 84 años,4.764
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 85 a 89 años,6.209
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 90 a 94 años,5.76
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 20.001 a  50.000 habitantes,De 95 años y más,2.743
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,Todas las edades,20.216
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,Menores de 1 año,61.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 1 a 4 años,11.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 5 a 9 años,9.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 10 a 14 años,14.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 15 a 19 años,19.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 20 a 24 años,29.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 25 a 29 años,36.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 30 a 34 años,69.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 35 a 39 años,74.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 40 a 44 años,144.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 45 a 49 años,296.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 50 a 54 años,471.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 55 a 59 años,757.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 60 a 64 años,1.051
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 65 a 69 años,1.342
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 70 a 74 años,1.844
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 75 a 79 años,2.53
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 80 a 84 años,2.887
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 85 a 89 años,3.585
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 90 a 94 años,3.353
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio de 50.001 a 100.000 habitantes,De 95 años y más,1.634
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,Todas las edades,19.855
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,Menores de 1 año,47.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 1 a 4 años,11.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 5 a 9 años,7.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 10 a 14 años,10.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 15 a 19 años,23.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 20 a 24 años,26.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 25 a 29 años,41.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 30 a 34 años,49.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 35 a 39 años,87.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 40 a 44 años,156.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 45 a 49 años,308.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 50 a 54 años,468.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 55 a 59 años,733.0
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 60 a 64 años,1.063
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 65 a 69 años,1.325
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 70 a 74 años,1.664
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 75 a 79 años,2.455
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 80 a 84 años,2.8
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 85 a 89 años,3.647
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 90 a 94 años,3.268
001-102 I-XXII.Todas las causas,Ambos sexos,Municipio mayor de 100.000 habitantes,De 95 años y más,1.667
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,Todas las edades,71.605
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,Menores de 1 año,184.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 1 a 4 años,35.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 5 a 9 años,25.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 10 a 14 años,32.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 15 a 19 años,61.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 20 a 24 años,96.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 25 a 29 años,104.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 30 a 34 años,172.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 35 a 39 años,244.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 40 a 44 años,423.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 45 a 49 años,778.0
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 50 a 54 años,1.275
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 55 a 59 años,2.13
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 60 a 64 años,3.207
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 65 a 69 años,4.111
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 70 a 74 años,5.235
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 75 a 79 años,7.516
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 80 a 84 años,9.881
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 85 a 89 años,13.384
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 90 a 94 años,14.368
001-102 I-XXII.Todas las causas,Ambos sexos,Capital,De 95 años y más,8.344
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,Todas las edades,1.313
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,Menores de 1 año,3.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 1 a 4 años,2.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 5 a 9 años,3.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 10 a 14 años,4.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 15 a 19 años,4.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 20 a 24 años,17.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 25 a 29 años,15.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 30 a 34 años,20.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 35 a 39 años,18.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 40 a 44 años,28.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 45 a 49 años,47.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 50 a 54 años,67.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 55 a 59 años,87.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 60 a 64 años,113.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 65 a 69 años,157.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 70 a 74 años,208.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 75 a 79 años,213.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 80 a 84 años,155.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 85 a 89 años,101.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 90 a 94 años,38.0
001-102 I-XXII.Todas las causas,Ambos sexos,Extranjeros,De 95 años y más,13.0
001-102 I-XXII.Todas las causas,Hombres,Total,Todas las edades,111.698
001-102 I-XXII.Todas las causas,Hombres,Total,Menores de 1 año,285.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 1 a 4 años,50.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 5 a 9 años,46.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 10 a 14 años,64.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 15 a 19 años,136.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 20 a 24 años,227.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 25 a 29 años,240.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 30 a 34 años,372.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 35 a 39 años,539.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 40 a 44 años,934.0
001-102 I-XXII.Todas las causas,Hombres,Total,De 45 a 49 años,1.735
001-102 I-XXII.Todas las causas,Hombres,Total,De 50 a 54 años,2.847
001-102 I-XXII.Todas las causas,Hombres,Total,De 55 a 59 años,4.752
001-102 I-XXII.Todas las causas,Hombres,Total,De 60 a 64 años,7.017
001-102 I-XXII.Todas las causas,Hombres,Total,De 65 a 69 años,8.672
001-102 I-XXII.Todas las causas,Hombres,Total,De 70 a 74 años,11.006
001-102 I-XXII.Todas las causas,Hombres,Total,De 75 a 79 años,15.114
001-102 I-XXII.Todas las causas,Hombres,Total,De 80 a 84 años,16.738
001-102 I-XXII.Todas las causas,Hombres,Total,De 85 a 89 años,19.149
001-102 I-XXII.Todas las causas,Hombres,Total,De 90 a 94 años,15.826
001-102 I-XXII.Todas las causas,Hombres,Total,De 95 años y más,5.949
001-102 I-XXII.Todas las causas,Hombres,Municipio menor o igual a 10.000 habitantes,Todas las edades,28.059
001-102 I-XXII.Todas las causas,Hombres,Municipio de 10.001 a  20.000 habitantes,Todas las edades,11.289
001-102 I-XXII.Todas las causas,Hombres,Municipio de 20.001 a  50.000 habitantes,Todas las edades,17.13
001-102 I-XXII.Todas las causas,Hombres,Municipio de 50.001 a 100.000 habitantes,Todas las edades,10.32
001-102 I-XXII.Todas las causas,Hombres,Municipio mayor de 100.000 habitantes,Todas las edades,10.125
001-102 I-XXII.Todas las causas,Hombres,Capital,Todas las edades,33.908
001-102 I-XXII.Todas las causas,Hombres,Extranjeros,Todas las edades,867.0
001-102 I-XXII.Todas las causas,Mujeres,Total,Todas las edades,111.58
001-102 I-XXII.Todas las causas,Mujeres,Total,Menores de 1 año,222.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 1 a 4 años,46.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 5 a 9 años,30.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 10 a 14 años,43.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 15 a 19 años,77.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 20 a 24 años,97.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 25 a 29 años,99.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 30 a 34 años,178.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 35 a 39 años,266.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 40 a 44 años,525.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 45 a 49 años,985.0
001-102 I-XXII.Todas las causas,Mujeres,Total,De 50 a 54 años,1.534
001-102 I-XXII.Todas las causas,Mujeres,Total,De 55 a 59 años,2.44
001-102 I-XXII.Todas las causas,Mujeres,Total,De 60 a 64 años,3.476
001-102 I-XXII.Todas las causas,Mujeres,Total,De 65 a 69 años,4.676
001-102 I-XXII.Todas las causas,Mujeres,Total,De 70 a 74 años,6.051
001-102 I-XXII.Todas las causas,Mujeres,Total,De 75 a 79 años,9.359
001-102 I-XXII.Todas las causas,Mujeres,Total,De 80 a 84 años,14.2
001-102 I-XXII.Todas las causas,Mujeres,Total,De 85 a 89 años,23.174
001-102 I-XXII.Todas las causas,Mujeres,Total,De 90 a 94 años,27.326
001-102 I-XXII.Todas las causas,Mujeres,Total,De 95 años y más,16.776
001-102 I-XXII.Todas las causas,Mujeres,Municipio menor o igual a 10.000 habitantes,Todas las edades,26.861
001-102 I-XXII.Todas las causas,Mujeres,Municipio de 10.001 a  20.000 habitantes,Todas las edades,10.837
001-102 I-XXII.Todas las causas,Mujeres,Municipio de 20.001 a  50.000 habitantes,Todas las edades,16.113
001-102 I-XXII.Todas las causas,Mujeres,Municipio de 50.001 a 100.000 habitantes,Todas las edades,9.896
001-102 I-XXII.Todas las causas,Mujeres,Municipio mayor de 100.000 habitantes,Todas las edades,9.73
001-102 I-XXII.Todas las causas,Mujeres,Capital,Todas las edades,37.697
001-102 I-XXII.Todas las causas,Mujeres,Extranjeros,Todas las edades,446.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,Menores de 1 año,13.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 1 a 4 años,7.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 5 a 9 años,4.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 10 a 14 años,4.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 15 a 19 años,6.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 20 a 24 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 25 a 29 años,10.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 30 a 34 años,12.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 35 a 39 años,10.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 40 a 44 años,22.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 45 a 49 años,56.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 50 a 54 años,91.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 55 a 59 años,157.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 60 a 64 años,231.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 65 a 69 años,327.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 70 a 74 años,391.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 75 a 79 años,702.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 80 a 84 años,969.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 85 a 89 años,1.394
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 90 a 94 años,1.36
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Total,De 95 años y más,653.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Todas las edades,1.592
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,Menores de 1 año,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 1 a 4 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 5 a 9 años,0.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 10 a 14 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 15 a 19 años,0.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 20 a 24 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 25 a 29 años,2.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 30 a 34 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 35 a 39 años,1.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 40 a 44 años,5.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 45 a 49 años,8.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 50 a 54 años,16.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 55 a 59 años,34.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 60 a 64 años,38.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 65 a 69 años,72.0
001-008 I.Enfermedades infecciosas y parasitarias,Ambos sexos,Municipio menor o igual a 10.000 habitantes,De 70 a 74 años,72.0
