edad,genero,horas_estudio,asistencia,nivel_socioeconomico,acceso_internet,actividades_extracurriculares,estado_emocional,nota_promedio_anterior,apoyo_familiar,rendimiento_academico
21,0,7.5,95,1,1,0,1,99.9,2,Alto
21,0,0.5,76,2,0,0,3,64.5,3,Bajo
23,1,2.2,99,3,1,0,2,90.6,2,Medio
24,1,2.0,70,1,1,1,2,95.7,2,Bajo
24,0,2.9,82,2,1,1,2,97.6,1,Medio
17,1,3.4,88,3,0,0,3,86.0,1,Medio
21,1,3.1,89,3,1,1,3,81.0,1,Medio
15,1,7.6,93,3,0,1,2,55.2,2,Bajo
18,0,3.5,85,3,0,0,2,73.5,2,Medio
18,1,4.4,74,3,0,0,2,69.7,3,Medio
19,1,6.0,56,1,1,0,3,51.1,3,Bajo
21,1,5.8,99,3,1,0,2,64.3,2,Bajo
21,1,4.7,99,3,0,0,2,87.2,1,Medio
18,1,6.9,59,2,1,0,3,65.2,3,Bajo
21,0,5.0,59,1,1,0,3,51.7,2,Bajo
17,0,7.0,87,3,0,0,3,88.5,3,Alto
20,1,2.4,73,2,0,1,3,90.4,3,Medio
16,1,1.1,93,1,0,0,1,51.4,1,Bajo
24,0,6.6,59,1,1,1,2,91.8,2,Bajo
23,0,3.1,94,3,1,0,2,89.8,3,Medio
19,1,5.2,75,1,1,1,3,81.0,1,Medio
20,1,5.9,79,2,0,1,2,52.2,3,Bajo
18,0,2.6,76,1,1,0,1,97.2,1,Medio
24,1,4.0,93,3,1,0,2,55.0,2,Bajo
21,1,7.2,68,3,0,1,3,86.0,3,Medio
23,0,7.0,50,2,1,0,1,88.2,1,Bajo
21,0,6.0,82,1,0,0,3,97.4,1,Medio
15,0,6.1,60,2,1,1,3,97.4,2,Bajo
15,0,7.2,99,1,1,1,1,63.9,3,Bajo
23,1,5.9,83,1,0,1,1,61.6,3,Bajo
23,1,2.7,87,1,1,1,2,70.5,3,Medio
18,1,1.0,65,1,0,1,3,96.8,3,Bajo
23,1,3.4,50,3,1,0,2,86.2,2,Bajo
17,0,0.7,90,3,0,0,2,95.6,2,Bajo
21,0,0.9,77,2,0,0,2,60.9,1,Bajo
20,1,7.6,64,1,0,0,3,53.4,3,Bajo
22,1,5.4,65,2,0,1,3,51.2,3,Bajo
23,1,6.8,95,2,1,1,2,53.6,3,Bajo
19,0,5.1,81,3,0,1,1,92.1,2,Alto
15,0,3.3,88,2,0,1,1,93.6,2,Medio
17,0,0.2,50,2,1,1,3,95.9,1,Bajo
24,1,7.6,97,2,0,1,3,70.4,1,Medio
22,1,0.6,58,1,1,1,2,73.3,3,Bajo
20,1,4.9,78,1,0,1,2,59.5,2,Bajo
22,0,0.8,74,2,0,1,1,72.1,3,Bajo
23,1,2.3,60,2,0,0,3,57.8,3,Bajo
18,0,1.5,91,1,0,0,3,80.9,3,Bajo
15,1,4.4,60,1,1,1,2,50.8,1,Bajo
15,1,7.1,55,2,0,1,2,71.4,2,Bajo
24,0,5.1,83,2,1,0,1,99.2,2,Alto
18,0,5.3,99,1,0,0,3,99.7,1,Medio
21,1,7.3,93,1,1,0,2,88.7,2,Alto
16,0,6.0,63,1,1,0,2,64.9,2,Bajo
17,0,6.9,57,1,1,0,1,59.9,3,Bajo
15,0,3.3,74,2,0,1,3,51.8,1,Bajo
19,0,6.9,53,1,0,0,1,70.9,1,Bajo
15,0,5.2,99,1,0,1,1,73.0,1,Medio
22,1,1.1,80,1,1,0,1,54.0,3,Bajo
15,1,0.3,70,3,1,0,1,93.4,2,Bajo
15,1,2.0,94,3,0,0,1,82.5,3,Bajo
16,1,3.0,81,1,0,1,2,69.0,1,Medio
16,0,6.7,63,2,0,0,1,92.8,3,Medio
20,1,5.9,77,1,0,0,3,70.6,2,Medio
21,0,7.6,74,1,0,1,1,92.4,3,Medio
19,1,4.5,77,1,1,0,1,74.8,3,Medio
15,1,6.0,64,1,0,1,3,81.8,2,Medio
15,0,2.2,95,3,0,1,2,55.5,3,Bajo
17,1,5.4,93,1,0,0,3,62.9,1,Bajo
16,1,5.6,71,1,0,1,2,82.6,1,Medio
19,1,6.8,96,3,0,0,2,70.5,3,Medio
24,1,4.3,55,1,0,1,2,56.7,2,Bajo
20,1,5.2,51,2,0,0,3,57.7,3,Bajo
21,1,1.6,55,3,0,0,1,85.4,3,Bajo
18,1,5.9,72,1,0,0,1,84.2,2,Medio
21,0,6.7,75,2,1,0,3,86.0,3,Medio
22,1,4.7,60,1,0,1,3,86.1,2,Bajo
15,1,0.9,50,1,0,0,2,98.1,1,Bajo
20,1,2.5,77,2,0,1,1,98.5,1,Medio
22,1,3.8,71,2,1,0,1,71.7,2,Medio
19,1,5.4,90,2,0,1,3,88.9,1,Medio
18,1,2.6,62,1,1,1,1,86.9,1,Medio
16,0,6.7,90,2,0,1,3,58.7,3,Bajo
20,1,3.0,96,2,0,0,1,89.1,1,Medio
20,1,0.3,99,1,0,1,1,92.2,3,Bajo
15,0,6.4,85,1,0,1,3,51.9,3,Bajo
23,0,5.2,71,1,1,1,3,76.2,3,Medio
20,1,6.4,53,1,0,1,2,62.5,3,Bajo
17,1,2.8,93,3,0,1,3,96.7,1,Medio
18,1,0.1,90,1,0,0,3,54.2,2,Bajo
18,0,0.6,67,2,1,1,2,82.9,2,Bajo
17,0,0.9,87,2,1,0,2,82.4,1,Bajo
24,1,6.4,66,1,1,0,2,56.0,3,Bajo
17,1,2.4,74,2,1,1,2,88.3,1,Medio
17,0,8.0,66,2,0,1,1,63.6,2,Bajo
18,0,6.1,78,3,1,0,2,84.6,3,Medio
21,0,4.8,94,3,0,0,1,62.5,1,Bajo
18,0,7.9,93,1,0,1,1,69.6,1,Medio
23,1,2.5,95,3,0,0,1,66.5,3,Medio
15,0,1.3,57,2,0,1,2,80.2,2,Bajo
22,0,5.9,78,1,1,1,2,81.1,2,Medio
21,1,2.2,64,1,1,0,1,76.1,3,Medio
16,0,7.7,90,2,0,0,1,57.5,2,Bajo
22,1,7.9,82,2,1,0,3,82.3,2,Alto
15,0,7.4,98,2,1,1,3,62.0,2,Bajo
23,1,7.6,59,2,1,0,2,71.4,3,Bajo
23,0,4.9,86,3,1,1,3,99.2,1,Medio
16,1,5.5,60,2,0,0,3,92.3,1,Bajo
21,1,0.8,84,1,1,1,2,63.8,3,Bajo
24,0,6.1,83,3,1,0,2,60.9,3,Bajo
17,1,1.6,81,1,1,1,1,78.4,2,Bajo
21,1,6.7,71,2,1,1,3,54.4,1,Bajo
24,0,7.7,53,2,1,0,1,74.0,2,Bajo
23,1,1.7,51,1,0,1,3,72.8,2,Bajo
18,1,0.6,82,1,1,0,1,99.7,2,Bajo
15,0,3.9,58,2,0,0,3,51.6,3,Bajo
16,0,6.3,84,3,1,1,1,93.8,2,Alto
15,1,6.2,87,2,0,1,2,96.7,3,Alto
19,1,5.6,80,3,1,0,2,82.4,2,Medio
19,1,6.6,63,2,1,1,1,77.0,2,Medio
21,1,1.4,80,3,0,0,1,57.2,1,Bajo
23,1,5.2,82,2,0,1,3,84.2,2,Alto
23,0,4.8,93,1,0,0,2,87.2,1,Medio
17,1,1.2,65,1,1,0,3,84.5,1,Bajo
17,0,3.3,69,2,1,1,3,54.0,1,Bajo
17,0,6.8,99,2,1,0,2,89.3,2,Alto
18,0,7.8,63,3,0,1,3,61.4,2,Bajo
22,0,5.3,84,3,0,1,1,63.1,3,Bajo
20,1,7.4,95,2,0,0,2,69.6,1,Medio
22,1,1.1,98,3,0,0,1,83.1,1,Bajo
15,1,7.8,94,1,0,0,2,78.3,1,Medio
22,0,0.3,82,1,1,1,1,85.2,1,Bajo
18,0,4.2,78,2,0,1,2,82.9,3,Medio
15,1,2.3,57,1,1,0,1,85.0,3,Bajo
22,0,6.5,83,3,0,0,2,64.9,3,Bajo
18,1,1.7,96,2,0,0,1,84.2,3,Bajo
20,0,0.1,63,1,0,1,2,89.8,2,Bajo
22,0,3.3,63,2,1,0,3,52.8,1,Bajo
18,0,0.5,99,1,1,1,3,97.1,1,Bajo
17,0,2.3,64,1,0,1,1,52.4,2,Bajo
23,0,5.1,91,1,0,1,3,87.7,2,Alto
17,0,2.4,99,1,1,0,3,82.3,1,Medio
23,0,2.0,69,2,1,1,2,65.9,1,Bajo
16,1,1.2,77,1,0,0,3,73.9,2,Bajo
16,1,1.1,53,1,0,0,2,95.9,3,Bajo
16,0,4.2,56,1,0,1,2,92.7,3,Bajo
20,0,5.5,51,2,1,1,1,68.3,3,Bajo
17,1,3.6,58,1,0,1,3,69.4,3,Bajo
23,0,1.0,72,1,1,1,3,60.8,1,Bajo
18,1,5.2,85,1,0,0,3,71.1,2,Medio
15,1,4.5,61,2,0,1,1,82.8,2,Medio
18,1,3.1,72,1,0,0,1,72.6,2,Medio
15,1,2.6,80,1,1,1,2,86.2,2,Medio
19,1,1.5,91,2,0,1,1,90.3,1,Bajo
18,0,1.2,60,3,1,1,2,66.0,3,Bajo
22,0,2.7,50,2,1,1,1,82.9,2,Bajo
22,1,0.3,62,3,1,0,3,77.2,1,Bajo
21,0,3.5,88,3,1,1,1,55.2,3,Bajo
17,1,4.8,78,3,1,0,1,64.5,1,Bajo
15,0,7.5,55,3,0,1,1,56.1,2,Bajo
15,0,5.0,80,3,0,0,2,90.2,1,Medio
17,0,5.0,58,2,1,0,3,85.0,1,Bajo
20,0,3.0,67,1,0,1,1,90.2,1,Medio
21,0,1.1,52,2,1,0,2,82.1,3,Bajo
20,0,3.6,81,2,0,0,3,75.9,3,Medio
20,0,4.8,94,1,1,0,1,73.8,1,Medio
20,0,5.8,52,1,1,0,1,66.8,2,Bajo
17,1,6.6,94,2,0,0,1,93.8,2,Alto
20,1,2.0,79,2,1,1,1,73.3,1,Bajo
22,0,1.9,55,2,0,1,1,60.7,3,Bajo
16,0,4.5,99,2,0,1,3,87.4,3,Medio
19,0,4.5,76,1,0,1,2,66.9,2,Medio
15,1,1.7,51,3,1,1,1,61.2,2,Bajo
15,0,4.7,69,2,1,0,3,89.6,2,Medio
19,0,2.8,66,3,0,0,3,72.4,1,Medio
17,1,5.1,82,3,1,0,1,60.2,2,Bajo
18,1,2.3,66,2,1,0,2,83.6,1,Medio
17,1,4.7,86,2,0,0,1,90.8,3,Medio
15,0,6.1,78,1,1,1,3,70.0,2,Medio
15,1,7.8,58,3,1,0,3,61.6,2,Bajo
19,0,7.3,53,2,1,0,3,51.2,3,Bajo
20,1,4.0,95,2,0,1,3,93.4,2,Medio
17,0,3.9,89,1,1,0,2,72.4,3,Medio
23,0,3.5,62,2,1,0,2,94.4,2,Medio
19,0,0.2,55,3,0,1,1,85.2,3,Bajo
22,1,1.3,95,2,0,1,2,74.7,2,Bajo
15,0,0.5,58,2,1,1,1,84.9,3,Bajo
19,0,5.6,75,1,1,0,3,65.6,1,Medio
17,0,3.3,98,3,0,1,1,59.9,3,Bajo
15,1,0.5,88,3,0,0,1,57.5,3,Bajo
18,0,5.5,90,3,0,1,1,95.9,2,Alto
19,0,5.2,96,2,1,0,2,87.2,1,Medio
21,0,5.8,91,2,0,1,2,96.8,1,Medio
15,0,4.8,63,2,1,1,1,88.2,2,Medio
17,1,1.3,97,3,0,1,3,69.3,2,Bajo
16,0,0.5,83,3,1,0,1,96.9,3,Bajo
23,1,6.5,53,3,1,0,3,79.4,2,Bajo
24,1,1.7,70,3,1,1,3,96.8,1,Bajo
20,0,4.3,80,2,1,0,3,60.6,3,Bajo
24,1,3.9,96,1,1,0,3,68.6,1,Medio
17,1,7.4,92,3,1,1,2,68.8,1,Medio
22,1,4.4,70,1,0,1,2,50.3,3,Bajo
22,0,4.6,92,3,1,0,3,84.6,3,Medio
16,1,2.6,78,1,0,1,3,94.9,2,Medio
20,1,7.7,73,1,0,1,3,95.9,1,Medio
21,0,4.9,94,1,0,0,1,89.9,1,Medio
16,0,0.0,65,2,0,0,2,62.7,1,Bajo
24,1,4.4,58,1,1,1,1,69.3,3,Bajo
16,1,2.9,70,2,0,0,3,66.6,1,Medio
24,1,0.3,51,1,0,0,2,72.5,3,Bajo
15,0,3.5,51,2,1,0,2,72.8,2,Bajo
22,1,6.2,86,3,1,0,1,94.5,3,Alto
15,0,4.0,86,3,0,0,3,55.2,1,Bajo
23,1,5.1,54,1,0,1,1,87.9,1,Bajo
20,1,5.1,95,2,1,0,2,78.7,2,Medio
21,0,5.4,55,3,0,1,3,84.4,3,Bajo
24,1,3.1,97,2,1,1,2,94.7,1,Medio
21,0,3.0,97,2,1,1,1,97.1,1,Medio
24,1,0.0,57,3,0,1,1,50.5,2,Bajo
17,0,1.2,81,2,0,0,2,92.7,3,Bajo
16,0,7.6,86,2,0,0,2,59.1,1,Bajo
23,1,6.7,62,2,0,1,3,57.8,2,Bajo
22,0,2.2,52,3,1,0,1,95.4,3,Bajo
24,1,3.2,58,2,1,1,3,97.1,3,Bajo
21,0,7.5,53,3,1,0,2,69.8,1,Bajo
23,0,2.0,77,2,1,0,3,53.1,3,Bajo
18,0,4.3,89,2,1,1,1,90.7,3,Medio
18,1,0.2,65,3,0,0,2,92.3,1,Bajo
15,0,5.0,60,3,0,1,3,60.5,3,Bajo
22,0,7.4,68,2,0,0,3,99.1,2,Medio
17,0,7.1,91,2,1,1,3,89.3,1,Medio
21,1,4.0,71,1,0,0,2,72.3,3,Medio
16,1,5.2,88,2,1,0,3,72.7,1,Medio
16,0,4.6,61,3,0,0,2,67.0,1,Medio
21,0,0.5,79,2,1,0,1,87.2,3,Bajo
20,1,1.3,89,1,0,1,1,80.9,3,Bajo
17,0,7.7,91,2,1,1,3,89.0,2,Alto
23,0,2.0,54,1,0,0,1,76.8,1,Bajo
24,0,3.1,86,3,0,0,2,52.6,2,Bajo
20,0,4.1,94,3,1,1,3,93.8,2,Medio
24,0,7.8,81,2,1,0,3,72.6,3,Medio
24,0,5.5,83,1,1,0,2,86.4,1,Medio
20,1,5.0,61,3,1,0,2,62.6,3,Bajo
15,0,4.2,92,2,1,0,1,62.9,1,Bajo
18,0,5.6,51,3,0,0,3,68.3,1,Bajo
24,1,5.3,96,2,1,0,2,67.2,1,Medio
20,1,7.2,56,1,0,1,3,64.0,2,Bajo
20,1,4.3,81,2,1,0,1,66.0,2,Medio
19,1,3.4,89,3,1,0,1,57.0,1,Bajo
15,0,6.5,84,2,1,1,3,50.6,3,Bajo
22,1,6.4,98,3,1,0,2,98.8,1,Medio
19,0,1.4,55,1,0,0,3,53.7,3,Bajo
19,1,1.9,71,3,1,1,1,67.7,2,Bajo
21,1,7.7,74,3,0,0,1,91.8,1,Medio
18,1,3.6,96,1,0,1,3,50.2,1,Bajo
20,0,4.2,62,1,1,1,3,89.0,2,Medio
18,1,2.5,72,2,0,0,1,71.0,2,Medio
17,1,3.8,94,1,1,1,2,60.7,1,Bajo
21,1,5.9,93,3,0,0,1,57.5,1,Bajo
22,0,3.9,95,2,0,1,1,91.7,1,Medio
18,0,2.5,58,1,0,0,2,64.4,2,Bajo
16,1,0.8,91,3,0,0,3,73.7,1,Bajo
24,0,7.4,86,1,1,1,2,67.9,2,Medio
17,1,7.0,86,3,0,0,1,93.4,2,Alto
15,0,6.3,79,1,0,0,2,57.2,2,Bajo
22,1,5.6,69,2,1,1,3,99.2,3,Medio
17,0,4.1,87,2,0,0,2,51.0,1,Bajo
24,1,7.2,93,2,0,1,2,60.0,3,Bajo
21,0,6.3,98,3,1,0,3,73.7,2,Medio
24,0,6.5,65,2,0,1,1,58.7,2,Bajo
19,1,2.5,99,2,0,1,1,62.4,3,Bajo
24,1,3.4,71,2,1,0,2,99.4,2,Medio
19,0,5.7,87,3,0,1,2,80.6,2,Alto
21,1,3.0,59,2,1,0,2,52.3,2,Bajo
23,1,4.0,69,2,1,1,3,73.8,2,Medio
19,1,5.2,90,1,1,0,2,79.1,2,Medio
15,1,3.5,51,3,0,1,1,66.5,3,Bajo
24,0,6.3,52,2,1,0,3,94.4,1,Bajo
24,1,0.9,91,2,0,1,1,90.5,1,Bajo
15,0,5.7,57,2,0,1,3,70.2,3,Bajo
16,0,1.2,58,1,1,1,3,87.9,3,Bajo
20,1,7.5,77,1,1,1,2,76.5,2,Medio
23,1,2.5,70,1,1,0,2,90.7,2,Medio
22,0,6.4,82,2,1,1,2,74.4,1,Medio
19,1,4.2,83,3,1,1,2,55.6,3,Bajo
15,1,0.7,53,3,1,0,2,65.5,3,Bajo
21,0,4.7,97,1,1,0,1,81.2,1,Medio
19,0,7.3,74,2,0,1,1,97.9,3,Medio
20,0,1.3,81,3,1,0,2,94.1,1,Bajo
21,1,2.6,61,2,1,0,1,92.0,1,Medio
17,1,3.5,51,1,1,0,2,77.3,3,Bajo
24,0,2.2,96,1,1,0,1,59.3,2,Bajo
17,0,7.6,99,2,0,0,1,50.9,2,Bajo
19,1,3.0,97,3,1,0,3,67.6,1,Medio
20,1,5.3,61,3,1,0,2,88.4,2,Medio
23,1,1.8,99,1,1,0,3,62.5,2,Bajo
19,0,1.8,95,2,0,1,2,64.6,3,Bajo
15,1,1.4,75,1,0,0,1,56.0,3,Bajo
18,1,3.5,70,3,1,0,1,85.5,2,Medio
19,0,4.3,93,2,1,0,2,64.3,3,Bajo
24,1,0.1,86,2,1,0,1,81.4,1,Bajo
24,0,6.7,85,1,0,1,2,76.2,3,Medio
19,1,4.1,67,2,0,0,3,99.6,1,Medio
21,0,1.3,73,2,0,0,3,97.3,2,Bajo
18,0,0.5,79,2,1,0,2,69.7,2,Bajo
15,0,0.5,66,2,1,0,3,90.1,3,Bajo
19,1,2.1,65,1,1,1,2,70.3,3,Medio
21,1,4.0,91,2,0,1,2,63.5,3,Bajo
24,1,6.9,66,3,1,1,3,50.7,1,Bajo
24,1,7.2,93,1,0,1,1,85.9,2,Alto
20,0,6.7,61,2,0,0,3,64.0,3,Bajo
19,1,2.6,76,1,1,1,3,74.0,3,Medio
18,1,2.5,53,3,1,0,2,58.3,3,Bajo
16,0,7.9,84,2,0,1,2,53.3,1,Bajo
18,0,5.5,50,2,0,1,2,87.4,3,Bajo
24,0,2.4,61,1,1,0,3,64.7,1,Bajo
24,0,2.6,78,1,1,1,2,62.7,1,Bajo
17,1,3.5,57,1,1,1,1,63.0,3,Bajo
24,0,5.0,57,1,0,1,3,55.2,1,Bajo
15,1,7.2,61,1,1,0,1,51.6,2,Bajo
22,1,1.6,85,2,0,1,3,59.3,1,Bajo
19,0,0.7,97,1,1,0,3,90.0,2,Bajo
18,0,3.2,83,1,1,1,3,99.0,2,Medio
22,0,2.0,85,1,1,0,3,75.7,1,Bajo
21,0,4.6,53,3,0,0,1,90.3,1,Bajo
16,0,5.6,60,2,1,1,1,62.8,2,Bajo
15,1,2.5,52,1,1,0,3,84.2,1,Bajo
18,0,5.5,59,2,1,1,3,94.6,3,Bajo
22,1,2.7,61,2,1,1,3,80.9,1,Medio
16,0,5.1,98,1,1,0,3,85.1,3,Alto
17,1,5.1,58,3,1,1,3,55.0,1,Bajo
15,1,2.2,70,3,0,0,2,67.9,1,Medio
15,1,5.1,83,2,0,0,3,51.5,1,Bajo
17,0,3.0,71,1,1,0,3,58.3,2,Bajo
19,0,2.7,67,2,1,0,2,64.9,2,Bajo
17,0,2.3,93,2,0,0,1,97.7,1,Medio
15,1,2.8,55,1,1,0,2,52.0,3,Bajo
15,1,6.3,74,3,1,0,1,72.6,2,Medio
22,0,2.0,99,2,1,1,1,88.6,3,Bajo
24,0,5.5,94,2,0,1,2,75.4,2,Medio
16,1,7.2,64,2,0,1,2,79.3,2,Medio
17,1,2.8,50,2,0,0,1,96.7,2,Bajo
16,0,0.2,89,2,1,1,1,82.6,2,Bajo
17,0,0.2,67,1,0,0,1,87.9,3,Bajo
21,0,1.1,93,3,0,0,2,52.0,3,Bajo
15,1,0.9,80,1,1,0,3,89.8,1,Bajo
24,1,6.0,69,1,1,1,1,71.1,2,Medio
22,0,2.4,93,1,0,1,2,51.0,2,Bajo
24,0,5.2,74,3,0,1,1,92.5,1,Medio
24,0,0.3,82,1,1,1,3,97.8,2,Bajo
24,0,2.4,59,3,1,0,3,80.2,1,Bajo
16,0,1.9,78,2,0,1,1,94.4,1,Bajo
17,1,2.2,68,2,0,0,2,59.7,3,Bajo
23,0,1.5,77,1,1,1,2,80.2,2,Bajo
21,1,4.9,76,2,1,1,1,72.5,3,Medio
18,1,5.3,68,2,0,1,1,51.8,1,Bajo
24,1,1.2,92,2,0,1,3,81.4,1,Bajo
19,1,5.9,80,1,0,1,3,78.8,3,Medio
16,1,2.0,84,1,1,1,2,52.2,2,Bajo
22,1,2.3,63,3,0,0,3,60.4,3,Bajo
18,1,6.6,99,2,0,0,1,64.5,3,Bajo
23,1,7.2,55,1,0,0,1,59.7,2,Bajo
19,0,6.6,58,2,1,0,2,82.5,3,Bajo
23,0,1.2,90,1,0,0,2,76.6,3,Bajo
18,0,8.0,76,3,0,0,2,68.4,1,Medio
24,0,5.4,66,3,0,0,1,71.6,1,Medio
19,0,4.1,85,1,1,1,2,98.3,3,Medio
